departamento;RAZONA_CUANTITAT;COMUNI_ESCRITA;LECTURA_CRITICA;INGLES;COMPETEN_CIUDADA
antioquia;150,78;137,65;153,92;160,1;152,1
atlantico;142,86;133,12;148,18;157,04;144,98
bogota d.c. (ct);145,41;135,1;148,34;154,86;147,76
bolivar;139,92;128,14;145,03;150,93;140,76
boyaca;153,75;137,88;153,43;156,28;153,82
caldas;157,59;138,78;159,25;162,44;158,45
caqueta;136,27;131,28;140,05;137,35;138,33
casanare;146,83;124,47;139,95;144,45;139,15
cauca;141,56;132,39;145,21;144,08;143,79
cesar;136,64;126,01;143,44;141,11;139,36
choco;111,01;103,77;120,58;122,44;117,46
cordoba;138,17;129;142,56;145,68;139,18
cundinamarca;162,72;152,99;163,15;174,58;162,8
huila;147,32;132,65;147,67;151,04;145,03
guajira;124,11;123,18;131,12;130,89;126,77
magdalena;139,87;132,04;145,97;148,16;143,96
meta;150,63;131,8;149,28;153,8;147,99
narino;143,86;132,77;145,75;146,36;142,71
norte de santander;145,57;128,07;144,99;144,79;142,21
putumayo;134;125,18;130,28;136,28;127,52
quindio;144,43;136,45;149,55;153,4;148,28
risaralda;147,51;138,03;150,34;159,4;148,9
santander;155,35;135,93;153,79;159,88;151,85
sucre;132,62;128,9;138,26;140,18;135,54
tolima;139,6;133,71;143,63;146,96;142,06
valle;148,72;136,67;152,29;159,84;149,93